artist,song
Bruno Mars,Locked Out Of Heaven
Sonta,FU2
AnneMarie James Arthur,Rewrite The Stars
Charlie Puth,Left And Right
FUSION,SPACESHIP
Jennifer Lopez,On The Floor
Sia,Dance Alone
Michael V Doane,Lets Go
Paloma Faith,Only Love Can Hurt Like This
Post Malone,Circles
OMMIEH,The Way You Lie
RAYE,Escapism
The Weeknd,Blinding Lights
D Watkins,Slow Wine
Lady Gaga,Always Remember Us This Way
Loreen,Tattoo
Pios Phantom,The day of peace
AnneMarie, 2002
The Black Eyed Peas,I Gotta Feeling
Fedd The God,Love Hate
Justin Bieber,Intentions
Purple Disco Machine,Substitution
Silas Marv,Passionate
Taylor Swift,You Belong With Me
David Guetta,Say My Name
Benson Boone,Slow It Down
Alexandra Stan,Mr Saxobeat
Fifth Harmony,Worth It
Rex The Rhythm,Umbrella
Ed Sheeran,Shivers
Pnk,Just Give Me A Reason
Bruno Mars,When I Was Your Man
MIRA,Ring Ring
Shawn Mendes,Treat You Better
Sophie EllisBextor,Murder On The Dancefloor
Ariana Grande,Side To Side
MIRA,Ladida
Bee Gees,How Deep Is Your Love
One Direction,What Makes You Beautiful
Blondie,Heart Of Glass
MIRA,Duro
Shakira,Hips Dont Lie
Ariana Grande,positions
Adele,Skyfall
MIRA,Bad Booty
Clean Bandit,Symphony
Pitbull,Give Me Everything
Nelly,Just A Dream
MIRA,Come With Me
Faouzia John Legend,Minefields
Nelly Furtado,Promiscuous
Rihanna,Love On The Brain
Monoir,Summers Gone
La Bouche,Be My Lover
Charlie Puth,Attention
Katy Perry,Hot N Cold
Fea,Shades of Blue
Ava Max,Sweet but Psycho
Maroon 5,She Will Be Loved
Shakira,Whenever Wherever
Paul Damixie,I Got It All
TONES AND I,DANCE MONKEY
Justin Timberlake,Mirrors
Jessie J,Price Tag
Paul Damixie,Out of Space
Air Supply,Making Love Out Of Nothing At All
Kate Bush,Running Up That Hill
Dido,Thank You
Paul Damixie,Dumb
Harry Styles,Watermelon Sugar
Miley Cyrus,Party In The USA
Sinéad O'Connor,Nothing Compares 2 U
Paul Damixie,Hypnotised
Black Eyed Peas Shakira,GIRL LIKE ME
Sam Smith Normani,Dancing With A Stranger
Pharrell Williams,Happy
Paul Damixie,You Got Me Like
Justin Bieber,Ghost
The Kid LAROI,Without You
